ID,LastName,FirstName,Pos,CapHit
8474593,Markstrom,Jacob,G,4125000
8478007,Merzlikins,Elvis,G,5400000
8480947,Lankinen,Kevin,G,4500000
8475717,Pickard,Calvin,G,1000000
8481035,Ersson,Samuel,G,1450000
8475660,Talbot,Cam,G,2500000
8479292,Lindgren,Charlie,G,3000000
8480981,Hofer,Joel,G,3400000
8477465,Jarry,Tristan,G,5375000
8479496,Rittich,David,G,1000000
8481020,Annunen,Justus,G,837500
8479193,DeSmith,Casey,G,1000000
8475809,Wedgewood,Scott,G,1500000
8479312,Lyon,Alex,G,1500000
8477968,Nedeljkovic,Alex,G,2500000
8474596,Allen,Jake,G,1800000
8475883,Andersen,Frederik,G,2750000
8478435,Vladar,Dan,G,3350000
8475852,Mrazek,Petr,G,4250000
8476434,Gibson,John,G,6400000
8476341,Forsberg,Anton,G,2250000
8476914,Korpisalo,Joonas,G,3000000
8471734,Quick,Jonathan,G,1550000
8482821,Soderblom,Arvid,G,2750000
8477480,Comrie,Eric,G,825000
8477992,Johansson,Jonas,G,1250000
8478971,Ingram,Connor,G,1950000
8475831,Grubauer,Philipp,G,5900000
8480193,Tarasov,Daniil,G,1050000
8478905,Fedotov,Ivan,G,3275000
8477970,Vanecek,Vitek,G,1500000
8473575,Varlamov,Semyon,G,2750000
8481033,Schmid,Akira,G,875000
8478024,Husso,Ville,G,2200000
8481668,Silovs,Arturs,G,850000
8478039,Kahkonen,Kaapo,G,1150000
8482445,Cooley,Devin,G,775000
