ID,LastName,FirstName,Pos,CapHit,proj_gp,proj_w,proj_gaa,proj_svp
8474593,Markstrom,Jacob,G,4125000,55,27,2.66,0.901
8475883,Andersen,Frederik,G,2750000,55,37,2.28,0.911
8476434,Gibson,John,G,6400000,55,18,3.23,0.902
8480981,Hofer,Joel,G,3400000,55,28,2.74,0.907
8479193,DeSmith,Casey,G,1000000,55,25,2.79,0.907
8478039,Kahkonen,Kaapo,G,1150000,55,4,3.48,0.849
8478007,Merzlikins,Elvis,G,5400000,55,21,3.45,0.891
8474596,Allen,Jake,G,1800000,55,23,2.96,0.903
8479292,Lindgren,Charlie,G,3000000,55,27,2.76,0.902
8475660,Talbot,Cam,G,2500000,55,26,2.79,0.905
8480193,Tarasov,Daniil,G,1050000,55,18,3.48,0.892
8475717,Pickard,Calvin,G,1000000,55,29,2.89,0.899
8480947,Lankinen,Kevin,G,4500000,55,26,2.71,0.906
